       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey
  CSS160710   241.0814375    39.47018056      0.18    SN_features  0.0096   57530.76  57582.37   Silver     CSS
  DES14C1fi       53.4575   -27.05877778     1.302     Host_lines  0.0091   56853.85  56930.93   Silver     DES
 DES14C1rhg   54.53029167   -27.71269444     0.481    SN_features  0.0096    56983.8  57013.27   Silver     DES
 DES14E2slp         8.267    -44.1952222      0.57    SN_features   0.006   57000.72  57044.36   Silver     DES
 DES14S2qri   40.88391667    -1.12616667       1.5    SN_features  0.0276   56973.84  57018.05     Gold     DES
 DES14X2byo   35.94554167       -6.13675     0.868  Host_spectrum  0.0257   56918.34  56957.97     Gold     DES
 DES14X3taz   37.01858333    -4.08686111     0.608  Host_spectrum   0.022   57031.63  57083.74     Gold     DES
 DES15C3hav     52.967375   -28.25263889     0.392  Host_spectrum  0.0077   57299.94  57336.53   Silver     DES
 DES15E2mlf    10.3891667    -43.4547778     1.861  Host_spectrum  0.0086   57325.19  57370.08     Gold     DES
 DES15S1nog   43.06241667    -0.74341667     0.565     Host_lines  0.0541   57342.91  57377.68   Silver     DES
 DES15X1noe   33.67470833    -4.88180556     1.188  Host_spectrum  0.0177   57336.15  57436.48     Gold     DES
  DES15X3hm        36.729    -5.06055556      0.86  Host_spectrum  0.0237   57187.31  57235.88     Gold     DES
 DES16C2aix   55.17154167   -29.38011111     1.068  Host_spectrum  0.0114   57592.18  57691.71     Gold     DES
  DES16C2nm   55.06179167   -29.09819444     1.998  Host_spectrum  0.0123    57545.1  57622.12   Silver     DES
  DES16C3cv     51.819625      -28.71275     0.727     Host_lines  0.0103    57578.1  57676.92   Bronze     DES
 DES16C3dmp     52.868125   -28.54119444     0.562  Host_spectrum  0.0068   57699.74  57735.03     Gold     DES
 DES16C3ggu          52.8   -28.57741667     0.949  Host_spectrum  0.0074   57748.16  57857.36   Silver     DES
 DES17C3gyp     51.966125   -28.39563889      0.47    SN_features  0.0073    58105.7  58153.08   Silver     DES
 DES17X1amf   34.44458333    -5.60027778      0.92    SN_features  0.0207   58011.88  58067.81     Gold     DES
 DES17X1blv       35.2485    -4.48355556      0.69    SN_features  0.0213   58020.29  58064.06     Gold     DES
  iPTF13ajg  249.76645833    37.02733333    0.7403  Host_spectrum  0.0121   56350.11  56399.89     Gold    iPTF
  iPTF13bdl    189.233917      13.129306     0.403    SN_features  0.0405   56288.54  56492.65   Silver    iPTF
  iPTF13bjz    159.582625       24.41425    0.2712     Host_lines  0.0198   56411.04  56446.24   Silver    iPTF
  iPTF13cjq       3.61325      24.285778    0.3962        Unknown  0.0423   56488.25  56511.37   Silver    iPTF
  iPTF13dcc     44.260375       -0.31225    0.4305    SN_features  0.0578   56491.82  56576.53   Silver    iPTF
  iPTF13ehe  103.33958333    67.13222222    0.3434     Host_lines  0.0434   56565.85   56671.2     Gold    iPTF
  iPTF15eov       61.4232      28.944631    0.0535        Unknown  0.5347   57356.61  57379.89     Gold    iPTF
  iPTF16asu       194.789         13.803     0.187     Host_lines  0.0275   57512.24  57523.64   Silver    iPTF
  iPTF16bad  259.16554167    28.37016667    0.2467     Host_lines  0.0426   57515.69  57542.92   Silver    iPTF
   iPTF16eh   190.2758917     32.8085722     0.427     Host_lines  0.0146   57369.39   57435.3     Gold    iPTF
   LSQ12dlf   27.62416667   -21.81261111     0.255    SN_features   0.011   56098.62  56138.25     Gold     LSQ
    LSQ14an  193.44929167   -29.52422222    0.1637     Host_lines  0.0711   56505.57  56603.38   Silver     LSQ
   LSQ14bdq  150.42333333   -12.37038889     0.345     Host_lines  0.0559   56732.74  56837.34     Gold     LSQ
   LSQ14fxj   39.80254167     3.32488889      0.36       Mg_Lines   0.031   56926.46  57048.14   Bronze     LSQ
    LSQ14mo  155.67304167   -16.92066667     0.256     Host_lines  0.0646   56663.61  56694.91     Gold     LSQ
  MLS121104     34.179167      20.669167     0.303     Host_lines  0.1501   56126.14  56224.22   Bronze     CSS
   OGLE15qz       47.1495    -70.5115556      0.68    SN_features  0.0274    57242.1   57346.2     Gold    OGLE
   OGLE15sd    25.5894167    -71.7876667     0.565    SN_features  0.0372   57290.95  57341.42   Silver    OGLE
   OGLE15xl     65.222708     -73.605611     0.198     Host_lines  0.0789   57320.54  57364.98   Silver    OGLE
   OGLE15xx     83.918125    -66.3468056      0.21    SN_features  0.2766   57370.69  57402.57   Silver    OGLE
  OGLE16dmu      72.10975    -62.3362778     0.426    SN_features  0.0271   57624.97  57677.37   Silver    OGLE
   PS110ahf  353.11791667    -0.36211111       1.1    SN_features  0.0293   55346.59  55524.29   Silver     PS1
   PS110awh  333.62429583    -0.06767222    0.9084       Mg_Lines  0.0658   55458.73  55513.04     Gold     PS1
   PS110bzj   52.91594167   -27.79504722      0.65       Mg_Lines  0.0068   55529.77  55559.81     Gold     PS1
    PS110ky   333.4077125     1.23988056    0.9558       Mg_Lines  0.0299   55367.39  55393.85     Gold     PS1
    PS110pm  183.17583333    46.99152222     1.206       Mg_Lines  0.0153   55259.36   55319.3     Gold     PS1
   PS111afv    183.907375    48.18017222     1.407       Mg_Lines  0.0138   55672.17  55739.56     Gold     PS1
   PS111aib  334.55090417     1.55889167     0.997       Mg_Lines  0.0428   55707.38  55839.55     Gold     PS1
    PS111ap  162.11554167    57.15255556     0.524     Host_lines  0.0059    55540.0   55612.5     Gold     PS1
   PS111bam  130.30913333    44.03248611     1.565       Mg_Lines  0.0234   55822.93  55877.15   Silver     PS1
   PS111bdn   36.44288333    -5.06571389     0.738       Mg_Lines  0.0252   55894.85  55929.13     Gold     PS1
    PS111tt  243.19074167    54.07137778     1.283       Mg_Lines   0.008   55573.49   55675.6   Silver     PS1
   PS112bmy   53.55467917   -26.52144722     1.572       Mg_Lines  0.0091   56054.56  56136.01   Silver     PS1
   PS112bqf    36.2275875    -4.83964444     0.522       Mg_Lines  0.0242   56182.35   56242.4     Gold     PS1
   PS112cil   130.2340375     45.4116472      0.32    SN_features  0.0234   56262.78   56300.6     Gold     PS1
    PS112zn    149.956729       2.858847     0.674     Host_lines  0.0181   56003.77   56028.3   Bronze     PS1
    PS113gt  184.50847917    47.57943056     0.884       Mg_Lines  0.0152    56255.8  56307.48   Silver     PS1
    PS113or      148.6679     2.19506667      1.52    SN_features  0.0308   56304.26   56395.3     Gold     PS1
