 Filter     Telescope  Instrument  System   Cenwave  Zeropoint
      R      DOT-3.6m          --    Vega   Generic    Generic
      R      HCT-2.0m          --    Vega   Generic    Generic
      r      Magellan       IMACS      AB   6463.63    3631.00
      r      Magellan      LDSS3c      AB   Generic    3631.00
      R      ST-1.04m          --    Vega   Generic    Generic
      r      Tsinghua          --      AB   Generic    3631.00
      r     Copernico          --      AB   Generic    3631.00
      r     Copernico       AFOSC      AB   Generic    3631.00
      R     Copernico       AFOSC    Vega   Generic    Generic
      R     ROTSE-III          --    Vega   5490.60    3334.88
      r     SkyMapper          --      AB   6076.85    3631.00
      R   Danish1.54m         CCD    Vega   Generic    Generic
      R   ESOESO3.6mm      EFOSC1    Vega   Generic    Generic
      R  Sampurnanand          --    Vega   Generic    Generic
      R  Sampurnanand      Camera    Vega   Generic    Generic
     Rs          Keck        LRIS      AB   6734.34    3631.00
      U            --          --      AB   Generic    3631.00
      u            --          --      AB   Generic    3631.00
      U            --          --    Vega   Generic    Generic
      u            LT          --      AB   Generic    3631.00
      u            LT         IOO      AB   3513.68    3631.00
      u           FTN          --      AB   Generic    3631.00
      U           LCO    Sinistro      AB   Generic    3631.00
      u           NOT          --      AB   Generic    3631.00
      u           NOT      ALFOSC      AB   Generic    3631.00
      u           NTT          --      AB   Generic    3631.00
      U           NTT          --    Vega   Generic    Generic
      u           NTT          --    Vega   Generic    Generic
      u           P60          --      AB   Generic    3631.00
      u           P60        SEDM      AB   Generic    3631.00
      u           WHT          --      AB   Generic    3631.00
      u          SDSS          --      AB   3608.04    3631.00
      U         LCOGT          --    Vega   Generic    Generic
      U           LCO          --    Vega   Generic    Generic
      U         Swift        UVOT      AB   3520.88    3631.00
      u         Swift        UVOT      AB   3520.88    3631.00
      U         Swift        UVOT    Vega   3520.88    1457.11
      u       Schmidt          --      AB   Generic    3631.00
      U      DOT-3.6m          --    Vega   Generic    Generic
      U      HCT-2.0m          --    Vega   Generic    Generic
      u     Copernico          --      AB   Generic    3631.00
      u     Copernico       AFOSC      AB   Generic    3631.00
      u     SkyMapper          --      AB   3500.22    3631.00
      U  Sampurnanand          --    Vega   Generic    Generic
   UVM2         Swift        UVOT      AB   2245.03    3631.00
   UVM2         Swift        UVOT    Vega   2245.03    787.630
   UVW1         Swift        UVOT      AB   2681.67    3631.00
   UVW1         Swift        UVOT    Vega   2681.67    921.000
   UVW2         Swift        UVOT      AB   2083.95    3631.00
   UVW2         Swift        UVOT    Vega   2083.95    755.140
      V            --          --    Vega   Generic    Generic
      V            LT          --      AB   Generic    3631.00
      V            LT          --    Vega   Generic    Generic
      V            LT      RATCam    Vega   5351.82    3678.37
      V           FTN          --      AB   Generic    3631.00
      V           FTN     HawkCam    Vega   Generic    Generic
      V           FTS          --    Vega   Generic    Generic
      V           LCO    Sinistro      AB   Generic    3631.00
      V           LCO    Sinistro    Vega   Generic    Generic
      V           LSQ          --    Vega   Generic    Generic
      V           MDM          --    Vega   Generic    Generic
      V           NOT          --      AB   Generic    3631.00
      V           NOT          --    Vega   Generic    Generic
      V           NOT      ALFOSC      AB   Generic    3631.00
      V           NTT          --      AB   Generic    3631.00
      V           NTT          --    Vega   Generic    Generic
      V           NTT        EMII    Vega   Generic    Generic
      V           NTT      EFOSC2    Vega   Generic    Generic
      V           P60     P60-Cam    Vega   Generic    Generic
      V           PTF          --    Vega   Generic    Generic
      V           SLT          --      AB   Generic    3631.00
      V           TNG          --    Vega   Generic    Generic
      V           TNT          --    Vega   Generic    Generic
      V           VLT      RATCam    Vega   5351.82    3678.37
      V           WHT  AuxPortCam    Vega   Generic    Generic
      V          CPCS          --    Vega   Generic    Generic
      V          CRTS          --      AB   Generic    3631.00
      V          CRTS          --    Vega   Generic    Generic
      V          EKAR          --      AB   Generic    3631.00
      V          FLWO   KeplerCam    Vega   5379.61    3649.88
      V          Post          --      AB   Generic    3631.00
      V         LCOGT          --    Vega   Generic    Generic
      V           LCO          --    Vega   Generic    Generic
      V         Lulin          --    Vega   Generic    Generic
      V         Swift        UVOT      AB   5411.45    3631.00
      V         Swift        UVOT    Vega   5411.45    3657.87
      V         Swope         CCD    Vega   5350.44    3680.82
      V        ASASSN      ASASSN    Vega   5393.85    3665.97
