# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = OGLE15xl
# TELESCOPE = NTT
# INSTRUMENT = EFOSC2
# DATE-OBS = 2015-12-18 06:29:00.00
# MJD =
# EXPTIME = 1500
# SLIT =
# DISPERSER =
# SOURCE = 2015ATel.8437....1L
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT = Obtained from WISeREP
7983.65777302 3.15729e-17
7989.17570114 2.54202e-17
7994.69362926 3.12569e-17
8000.21155739 3.77429e-17
8005.72948551 2.98396e-17
8011.24741364 3.15801e-17
8016.76534176 2.45892e-17
8022.28326988 2.33753e-17
8027.80119801 2.91078e-17
8033.31912613 3.1752e-17
8038.83705425 3.50605e-17
8044.35498238 3.56057e-17
8049.8729105 3.63859e-17
8055.39083862 2.92747e-17
8060.90876675 3.07963e-17
8066.42669487 2.81732e-17
8071.94462299 2.44e-17
8077.46255112 3.02227e-17
8082.98047924 2.44445e-17
8088.49840736 2.15059e-17
8094.01633549 2.85196e-17
8099.53426361 2.9608e-17
8105.05219173 3.06776e-17
8110.57011986 3.71358e-17
8116.08804798 3.28642e-17
8121.6059761 2.55575e-17
8127.12390423 2.32623e-17
8132.64183235 2.89507e-17
8138.15976048 2.51631e-17
8143.6776886 2.23372e-17
8149.19561672 3.19796e-17
8154.71354485 3.21387e-17
8160.23147297 3.07441e-17
8165.74940109 2.09427e-17
8171.26732922 1.76973e-17
8176.78525734 2.31619e-17
8182.30318546 2.52427e-17
8187.82111359 2.61006e-17
8193.33904171 2.03403e-17
8198.85696983 1.9949e-17
8204.37489796 2.06192e-17
8209.89282608 2.64618e-17
8215.4107542 2.58642e-17
8220.92868233 2.30308e-17
8226.44661045 2.97157e-17
8231.96453857 1.53238e-17
8237.4824667 2.52542e-17
8243.00039482 1.94211e-17
8248.51832294 2.26708e-17
8254.03625107 3.86172e-17
8259.55417919 2.16414e-17
8265.07210732 2.95042e-17
8270.59003544 1.80684e-17
8276.10796356 2.2779e-17
8281.62589169 2.60778e-17
8287.14381981 2.78923e-17
8292.66174793 2.858e-17
8298.17967606 3.35365e-17
8303.69760418 2.3811e-17
